Journal	Score1	Score2	IF2	IF5	NoOfScores	Citations
Immunity	8	 	24.221	22.133	1	220
Journal of the American Chemical Society	6	6	9.023	8.981	2	40
Science (New York)	8	10	31.377	31.777	2	1003
Gastroenterology	6	8	12.032	12.403	2	85
Nature Medicine	10	 	25.43	27.887	1	213
Neuron	8	8	14.027	14.927	2	336
The Journal of Cell Biology	6	6	9.921	10.123	2	177
Nature Immunology	8	8	25.668	25.934	2	234
Science (New York)	10	8	31.377	31.777	2	471
PLoS Biology	8	8	12.472	14.376	2	92
Molecular Systems Biology	8	10	9.667	13.327	2	202
Nature Immunology	8	8	25.668	25.934	2	104
Molecular Biology and Evolution	6	 	5.51	8.907	1	36
Science (New York)	10	 	31.377	31.777	1	78
Nature	8	10	36.104	35.248	2	198
Science (New York)	6	 	31.377	31.777	1	150
Journal of Applied Physiology	8	 	4.235	4.216	1	78
Proceedings of the National Academy of Sciences of the United States of America	8	10	9.771	10.591	2	175
Physical Review Letters	8	 	7.622	7.155	1	176
Proceedings of the National Academy of Sciences of the United States of America	6	8	9.771	10.591	2	194
American Journal of Physiology. Heart and Circulatory Physiology	6	 	3.881	3.857	1	33
Nature	10	10	36.104	35.248	2	836
PLoS Medicine	6	6	15.617	14.974	2	836
Nature	6	6	36.104	35.248	2	322
Organic Letters	6	 	5.25	4.962	1	34
Molecular Cell	8	 	14.194	14.447	1	133
Nature Medicine	8	 	25.43	27.887	1	435
The New England Journal of Medicine	6	 	53.486	52.363	1	251
Science (New York)	6	 	31.377	31.777	1	206
Science (New York)	6	 	31.377	31.777	1	329
Blood	8	 	10.558	10.075	1	143
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	55
Nature	8	10	36.104	35.248	2	164
Cell	8	6	32.406	34.931	2	162
Cell	6	 	32.406	34.931	1	196
Current Biology	8	 	10.026	11.436	1	49
Neuron	6	 	14.027	14.927	1	189
Lancet	6	 	33.633	32.498	1	130
The Journal of Neuroscience	6	 	7.271	8.068	1	80
Science (New York)	8	8	31.377	31.777	2	517
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	218
Organic Letters	6	 	5.25	4.962	1	14
Science (New York)	8	8	31.377	31.777	2	311
Nature	8	8	36.104	35.248	2	1470
Nature	8	8	36.104	35.248	2	174
Nature Cell Biology	6	 	19.407	19.578	1	184
Molecular Biology of the Cell	6	 	5.861	5.949	1	57
