DOI,PREFIX,ISSN,type,publisher,title,date,reference-count,alt title,score
10.1111/jsbm.12540,10.1080,0047-2778,journal-article,Informa UK Limited,Journal of Small Business Management,2020/1/4,0,Issue Information,4.4303546
10.1111/jsbm.12543,10.1080,0047-2778,journal-article,Informa UK Limited,Journal of Small Business Management,2020/1/4,0,ICSB Information,4.4303546
10.1007/978-3-030-38603-0_10,10.1007,1865-0929,book-chapter,Springer International Publishing,Communications in Computer and Information Science,2020/1/8,17,On the Complexity of Some Quadratic Euclidean Partition Problems into Balanced Clusters,3.0544772
10.1007/978-3-030-38603-0_23,10.1007,1865-0929,book-chapter,Springer International Publishing,Communications in Computer and Information Science,2020/1/8,12,A Problem of Scheduling Operations at a Locomotive Maintenance Depot,3.0544772
10.1007/978-3-030-38603-0_16,10.1007,1865-0929,book-chapter,Springer International Publishing,Communications in Computer and Information Science,2020/1/8,15,Generalization of Controls Bimodality Property in the Optimal Exploitation Problem for Ecological Population with Binary Structure,3.0544772
10.1007/978-3-030-38603-0_20,10.1007,1865-0929,book-chapter,Springer International Publishing,Communications in Computer and Information Science,2020/1/8,12,Golden Rule Saving Rate for an Endogenous Production Function,3.0544772
10.1111/jocn.14922,10.1111,0962-1067,journal-article,Wiley,Journal of Clinical Nursing,2020/1/8,0,Issue Information,4.4303546
10.1007/978-3-030-38603-0_12,10.1007,1865-0929,book-chapter,Springer International Publishing,Communications in Computer and Information Science,2020/1/8,18,Dynamic Marketing Model: The Case of Piece-Wise Constant Pricing,3.0544772
10.1007/978-3-030-38603-0_2,10.1007,1865-0929,book-chapter,Springer International Publishing,Communications in Computer and Information Science,2020/1/8,21,Local Strong Convexity in Hilbert Space,3.0544772
10.1007/978-3-030-38603-0_3,10.1007,1865-0929,book-chapter,Springer International Publishing,Communications in Computer and Information Science,2020/1/8,13,Semidefinite Relaxation and Sign-Definiteness of Quadratic Forms on the Cone,3.0544772
10.1007/978-3-030-38603-0_6,10.1007,1865-0929,book-chapter,Springer International Publishing,Communications in Computer and Information Science,2020/1/8,19,Lipschitz Continuity of the Optimal Solution of the Infimal Convolution Problem and Subdifferential Calculus,3.0544772
10.1007/978-3-030-38603-0_19,10.1007,1865-0929,book-chapter,Springer International Publishing,Communications in Computer and Information Science,2020/1/8,10,Optimization of Kernel Estimators of Probability Densities,3.0544772
10.1007/978-3-030-38603-0_26,10.1007,1865-0929,book-chapter,Springer International Publishing,Communications in Computer and Information Science,2020/1/8,13,The Generalized Ellipsoid Method and Its Implementation,3.0544772
10.1007/978-3-030-38603-0_30,10.1007,1865-0929,book-chapter,Springer International Publishing,Communications in Computer and Information Science,2020/1/8,28,Polynomial Capacity Guarantees PTAS for the Euclidean Capacitated Vehicle Routing Problem Even for Non-uniform Non-splittable Demand,3.0544772
10.1007/978-3-030-38603-0_15,10.1007,1865-0929,book-chapter,Springer International Publishing,Communications in Computer and Information Science,2020/1/8,24,On PTAS for the Geometric Maximum Connected k-Factor Problem,3.0544772
