Patron Type Definition,Total Checkouts,Total Renewals,Home Library Definition,Circulation Active Month,Circulation Active Year,Year Patron Registered
YOUNG ADULT,0,0,Marina,None,None,2015
ADULT,3,12,Richmond,April,2014,2013
JUVENILE,11,0,Bayview/Linda Brooks-Burton,June,2014,2010
JUVENILE,171,111,Merced,July,2016,2014
YOUNG ADULT,14,1,Richmond,October,2013,2011
ADULT,5,0,Main Library,May,2013,2013
YOUNG ADULT,194,178,North Beach,July,2016,2004
ADULT,26,9,Glen Park,July,2016,2003
ADULT,14,0,Ingleside,September,2013,2012
ADULT,0,0,Main Library,January,2014,2014
ADULT,81,3,Potrero,March,2016,2004
JUVENILE,0,0,Main Library,None,None,2013
ADULT,2800,1020,West Portal,July,2016,2003
ADULT,88,102,Potrero,July,2016,2006
ADULT,31,47,Mission Bay,July,2016,2014
ADULT,3,9,Main Library,February,2016,2015
ADULT,0,0,Main Library,None,None,2014
YOUNG ADULT,0,0,Main Library,None,None,2013
ADULT,114,119,Merced,March,2016,2008
WELCOME,4,0,Richmond,August,2014,2014
ADULT,10,6,Richmond,June,2016,2009
YOUNG ADULT,35,3,Bayview/Linda Brooks-Burton,June,2014,2010
ADULT,25,21,Western Addition,July,2013,2013
ADULT,0,0,West Portal,None,None,2015
JUVENILE,5,0,Mission,April,2013,2013
YOUNG ADULT,0,0,Main Library,None,None,2013
ADULT,17,4,Excelsior,March,2016,2003
ADULT,4,0,Excelsior,December,2015,2013
ADULT,47,214,Main Library,March,2016,2013
SENIOR,334,161,Chinatown,June,2013,2003
JUVENILE,42,0,Marina,March,2016,2015
SENIOR,20,0,Ortega,December,2014,2006
ADULT,57,69,Main Library,March,2016,2003
ADULT,0,0,North Beach,None,None,2012
ADULT,14,8,Western Addition,April,2014,2003
ADULT,9,0,Unknown,December,2014,2011
JUVENILE,575,1077,Ingleside,July,2016,2012
ADULT,425,169,Chinatown,June,2014,2012
ADULT,1,0,Noe Valley/Sally Brunn,September,2012,2012
JUVENILE,468,9,Sunset,November,2014,2007
ADULT,14,15,Mission,June,2015,2012
SENIOR,39,32,Richmond,October,2015,2005
ADULT,185,96,Noe Valley/Sally Brunn,July,2016,2003
ADULT,2,0,Main Library,July,2016,2016
ADULT,18,3,Potrero,May,2013,2013
YOUNG ADULT,5,0,Excelsior,July,2014,2008
AT USER ADULT,92,138,Main Library,May,2016,2003
SENIOR,0,0,Main Library,None,None,2012
ADULT,67,56,West Portal,December,2014,2003
ADULT,36,23,Glen Park,November,2014,2010
ADULT,402,51,Noe Valley/Sally Brunn,June,2016,2008
SENIOR,0,0,Main Library,None,None,2013
ADULT,0,0,Main Library,None,None,2009
ADULT,857,143,Main Library,July,2016,2010
ADULT,1,2,Glen Park,December,2014,2014
ADULT,8,21,Main Library,February,2013,2012
ADULT,455,822,Main Library,November,2015,2003
ADULT,6,0,Glen Park,August,2012,2003
JUVENILE,69,0,Glen Park,July,2016,2008
ADULT,148,13,North Beach,November,2013,2009
SENIOR,352,41,Western Addition,January,2016,2004
ADULT,0,0,Bayview/Linda Brooks-Burton,None,None,2015
ADULT,95,99,Eureka Valley/Harvey Milk Memorial,March,2015,2010
JUVENILE,264,122,Ortega,June,2016,2009
ADULT,7,1,Main Library,August,2014,2011
JUVENILE,949,53,Eureka Valley/Harvey Milk Memorial,July,2016,2010
ADULT,141,62,Main Library,January,2016,2003
JUVENILE,125,0,Presidio,February,2016,2014
ADULT,5,0,Potrero,February,2015,2013
ADULT,0,0,Ocean View,None,None,2014
ADULT,0,0,Main Library,None,None,2016
ADULT,88,59,Marina,December,2014,2014
ADULT,0,0,Main Library,None,None,2003
SENIOR,192,9,Main Library,April,2014,2008
ADULT,38,11,Main Library,June,2015,2012
ADULT,68,0,Main Library,December,2013,2003
YOUNG ADULT,0,0,Main Library,None,None,2014
ADULT,2,0,Merced,June,2015,2012
ADULT,1,0,Mission,February,2016,2016
SENIOR,36,0,Richmond,November,2014,2010
JUVENILE,36,2,Main Library,May,2015,2011
YOUNG ADULT,1,0,Merced,May,2015,2015
YOUNG ADULT,40,0,Potrero,November,2013,2010
ADULT,0,0,Chinatown,None,None,2015
YOUNG ADULT,272,29,Excelsior,December,2014,2006
ADULT,0,0,Richmond,None,None,2013
SENIOR,209,100,West Portal,July,2016,2003
ADULT,9,3,Mission,July,2016,2015
ADULT,285,119,Noe Valley/Sally Brunn,April,2015,2003
JUVENILE,145,64,Visitacion Valley,June,2016,2013
ADULT,191,44,Western Addition,December,2014,2010
ADULT,0,0,Main Library,None,None,2013
ADULT,0,0,North Beach,None,None,2015
ADULT,85,5,Parkside,December,2012,2003
ADULT,0,0,West Portal,None,None,2013
JUVENILE,4,4,West Portal,November,2015,2015
ADULT,1136,44,Main Library,February,2015,2011
SENIOR,1,0,Library on Wheels,March,2016,2016
ADULT,3,0,Western Addition,March,2012,2012
ADULT,4,0,Mission,October,2012,2012
JUVENILE,1362,243,Ortega,July,2016,2011
ADULT,71,14,Excelsior,July,2014,2009
ADULT,0,0,Noe Valley/Sally Brunn,None,None,2014
ADULT,2,2,Main Library,March,2014,2014
ADULT,0,0,Main Library,None,None,2008
ADULT,0,0,Main Library,None,None,2016
ADULT,162,8,Bernal Heights,December,2014,2003
JUVENILE,14,0,Noe Valley/Sally Brunn,December,2013,2013
SENIOR,12,0,Glen Park,September,2013,2012
ADULT,86,33,Richmond,May,2014,2010
JUVENILE,197,12,Sunset,May,2016,2009
JUVENILE,61,11,Noe Valley/Sally Brunn,July,2016,2012
ADULT,27,49,Excelsior,January,2016,2003
YOUNG ADULT,115,0,Portola,October,2014,2013
ADULT,11,3,Main Library,September,2013,2009
ADULT,4,0,Ingleside,January,2016,2015
ADULT,41,13,Mission,June,2013,2003
ADULT,0,0,Richmond,None,None,2014
SENIOR,3,0,Excelsior,July,2016,2016
ADULT,0,0,Western Addition,None,None,2013
ADULT,99,17,Visitacion Valley,December,2012,2003
ADULT,17,0,Ingleside,May,2016,2010
SENIOR,40,6,Ortega,September,2014,2009
WELCOME,2,0,Main Library,April,2014,2014
WELCOME,22,0,Potrero,January,2013,2012
JUVENILE,1140,1522,Ortega,July,2016,2010
ADULT,29,3,Presidio,June,2013,2007
ADULT,1970,1620,Richmond,July,2016,2003
ADULT,0,0,Main Library,None,None,2012
YOUNG ADULT,0,0,Ingleside,None,None,2014
ADULT,10,0,Bayview/Linda Brooks-Burton,July,2015,2012
ADULT,28,2,Bernal Heights,January,2014,2013
ADULT,163,18,Sunset,May,2016,2003
JUVENILE,72,0,Children's Bookmobile,July,2016,2016
JUVENILE,99,26,Ortega,March,2016,2014
YOUNG ADULT,0,0,Eureka Valley/Harvey Milk Memorial,None,None,2013
ADULT,520,58,Western Addition,June,2016,2015
ADULT,16,0,Western Addition,November,2015,2015
SENIOR,404,66,Golden Gate Valley,July,2016,2003
ADULT,50,25,Main Library,April,2016,2013
JUVENILE,2942,733,Parkside,July,2016,2008
YOUNG ADULT,8,0,Western Addition,July,2013,2011
ADULT,95,85,Golden Gate Valley,August,2012,2008
ADULT,264,172,Ortega,September,2015,2004
YOUNG ADULT,22,6,Richmond,October,2014,2010
ADULT,12,7,Golden Gate Valley,December,2014,2014
WELCOME,0,0,Park,None,None,2016
ADULT,0,0,Main Library,None,None,2014
WELCOME,1,2,Main Library,October,2005,2003
YOUNG ADULT,0,0,Chinatown,None,None,2015
ADULT,44,10,Richmond,March,2016,2003
SENIOR,24,6,Glen Park,May,2015,2009
ADULT,6,0,North Beach,May,2015,2005
JUVENILE,4,0,Eureka Valley/Harvey Milk Memorial,April,2016,2016
ADULT,630,478,Western Addition,November,2014,2009
ADULT,18,0,Western Addition,March,2014,2012
JUVENILE,32,10,Mission Bay,March,2016,2011
ADULT,42,3,Main Library,July,2016,2013
ADULT,10,35,Main Library,June,2016,2015
ADULT,19,2,Mission,July,2016,2013
SENIOR,16,17,Mission,May,2011,2003
JUVENILE,16,0,Potrero,June,2016,2013
ADULT,21,14,North Beach,June,2016,2003
JUVENILE,19,0,Presidio,May,2016,2015
JUVENILE,49,0,Main Library,September,2014,2014
ADULT,6,0,Mission,December,2006,2003
ADULT,1,0,North Beach,March,2013,2013
ADULT,0,0,Main Library,None,None,2013
YOUNG ADULT,2,0,Marina,November,2013,2013
SENIOR,98,1,Main Library,March,2015,2013
ADULT,532,1,Chinatown,May,2016,2003
YOUNG ADULT,1,0,Main Library,December,2014,2014
ADULT,8,0,Main Library,July,2016,2009
ADULT,13,0,Main Library,January,2015,2014
ADULT,67,30,Main Library,December,2012,2010
JUVENILE,4,0,Mission Bay,January,2016,2016
JUVENILE,165,37,North Beach,July,2016,2015
ADULT,0,0,Western Addition,None,None,2016
ADULT,16,1,Marina,February,2014,2009
ADULT,9,1,Main Library,March,2016,2005
ADULT,35,81,Main Library,August,2013,2010
ADULT,444,213,Chinatown,December,2013,2003
ADULT,0,0,Chinatown,None,None,2016
ADULT,2598,4136,Ortega,July,2016,2003
ADULT,0,0,Main Library,None,None,2013
ADULT,1,1,Main Library,September,2015,2015
ADULT,11,20,Main Library,November,2013,2013
ADULT,0,0,Main Library,None,None,2013
ADULT,18,0,Ortega,February,2016,2007
ADULT,274,69,Chinatown,July,2016,2014
JUVENILE,0,0,Chinatown,None,None,2014
ADULT,11,18,Excelsior,July,2016,2015
ADULT,38,18,Main Library,July,2016,2003
SENIOR,57,11,Western Addition,July,2016,2015
ADULT,0,0,Richmond,None,None,2015
ADULT,42,88,Main Library,December,2014,2008
ADULT,0,0,Main Library,None,None,2013
ADULT,94,78,Main Library,December,2015,2003
ADULT,0,0,Visitacion Valley,None,None,2016
ADULT,4,0,Portola,November,2013,2013
SENIOR,57,34,Main Library,July,2016,2007
ADULT,197,8,Main Library,October,2015,2003
JUVENILE,78,6,Ortega,June,2016,2009
ADULT,3,0,Merced,January,2014,2014
ADULT,42,32,Sunset,December,2014,2004
YOUNG ADULT,1157,96,Glen Park,August,2015,2008
